PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=4.7E-7, low=4.3E-7, open=4.6E-7, close=4.4E-7, volume=1.51947583, quoteVolume=3374743.0422992, weightedAverage=4.5E-7]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=4.7E-7, low=4.3E-7, open=4.4E-7, close=4.5E-7, volume=3.01252762, quoteVolume=6786120.9387637, weightedAverage=4.4E-7]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=4.7E-7, low=4.2E-7, open=4.6E-7, close=4.6E-7, volume=3.56343331, quoteVolume=8237135.749192, weightedAverage=4.3E-7]
PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=4.7E-7, low=4.1E-7, open=4.4E-7, close=4.4E-7, volume=1.37822678, quoteVolume=3243905.455156, weightedAverage=4.2E-7]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=4.4E-7, low=2.8E-7, open=4.4E-7, close=4.0E-7, volume=3.9244387, quoteVolume=11399504.395285, weightedAverage=3.4E-7]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=4.3E-7, low=3.4E-7, open=4.0E-7, close=4.1E-7, volume=0.30660302, quoteVolume=767906.88837749, weightedAverage=3.9E-7]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=4.3E-7, low=3.3E-7, open=4.0E-7, close=4.1E-7, volume=0.5113226, quoteVolume=1323218.4896105, weightedAverage=3.8E-7]
PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=4.2E-7, low=3.5E-7, open=4.1E-7, close=3.7E-7, volume=0.36588823, quoteVolume=976704.42332156, weightedAverage=3.7E-7]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=3.8E-7, low=3.7E-7, open=3.7E-7, close=3.8E-7, volume=0.03555023, quoteVolume=96021.86912712, weightedAverage=3.7E-7]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=4.0E-7, low=3.4E-7, open=3.9E-7, close=3.6E-7, volume=3.43030275, quoteVolume=9002566.5447049, weightedAverage=3.8E-7]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=4.2E-7, low=3.4E-7, open=3.7E-7, close=3.7E-7, volume=2.45780686, quoteVolume=6371891.1786536, weightedAverage=3.8E-7]
PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=3.8E-7, low=3.3E-7, open=3.6E-7, close=3.5E-7, volume=2.06852728, quoteVolume=5849098.4962392, weightedAverage=3.5E-7]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=3.8E-7, low=3.3E-7, open=3.5E-7, close=3.4E-7, volume=1.59111478, quoteVolume=4586820.0846086, weightedAverage=3.4E-7]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=3.8E-7, low=3.4E-7, open=3.4E-7, close=3.4E-7, volume=0.50074381, quoteVolume=1437310.5759068, weightedAverage=3.4E-7]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=3.7E-7, low=2.8E-7, open=3.4E-7, close=3.5E-7, volume=2.49625275, quoteVolume=7786909.5462625, weightedAverage=3.2E-7]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=3.7E-7, low=3.2E-7, open=3.5E-7, close=3.7E-7, volume=0.67121584, quoteVolume=1961526.6368318, weightedAverage=3.4E-7]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=3.8E-7, low=3.5E-7, open=3.6E-7, close=3.7E-7, volume=0.62244103, quoteVolume=1675989.8751516, weightedAverage=3.7E-7]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=3.9E-7, low=3.5E-7, open=3.8E-7, close=3.5E-7, volume=0.29587688, quoteVolume=774501.11914486, weightedAverage=3.8E-7]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=5.2E-7, low=3.3E-7, open=3.8E-7, close=3.8E-7, volume=8.18225574, quoteVolume=19092263.41053, weightedAverage=4.2E-7]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=5.1E-7, low=3.6E-7, open=3.9E-7, close=4.0E-7, volume=8.46022205, quoteVolume=19440852.727764, weightedAverage=4.3E-7]
PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=4.5E-7, low=4.0E-7, open=4.2E-7, close=4.2E-7, volume=1.50928034, quoteVolume=3518375.0433262, weightedAverage=4.2E-7]
PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=4.8E-7, low=4.1E-7, open=4.2E-7, close=4.5E-7, volume=2.81701422, quoteVolume=6445414.9361094, weightedAverage=4.3E-7]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=4.8E-7, low=4.2E-7, open=4.5E-7, close=4.6E-7, volume=0.75930711, quoteVolume=1681530.7386263, weightedAverage=4.5E-7]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=4.5E-7, low=4.1E-7, open=4.5E-7, close=4.3E-7, volume=0.93383877, quoteVolume=2229089.9540487, weightedAverage=4.1E-7]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=4.8E-7, low=3.9E-7, open=4.3E-7, close=4.4E-7, volume=1.54790347, quoteVolume=3556318.4367253, weightedAverage=4.3E-7]
PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=4.7E-7, low=4.3E-7, open=4.5E-7, close=4.7E-7, volume=1.034137, quoteVolume=2259615.8258869, weightedAverage=4.5E-7]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=4.8E-7, low=4.4E-7, open=4.6E-7, close=4.5E-7, volume=0.35761477, quoteVolume=783481.38179408, weightedAverage=4.5E-7]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=4.7E-7, low=4.3E-7, open=4.7E-7, close=4.4E-7, volume=0.56106552, quoteVolume=1267615.5939189, weightedAverage=4.4E-7]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=4.5E-7, low=4.2E-7, open=4.4E-7, close=4.2E-7, volume=1.1460148, quoteVolume=2694399.1486271, weightedAverage=4.2E-7]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=4.3E-7, low=3.9E-7, open=4.3E-7, close=4.2E-7, volume=0.93300311, quoteVolume=2268770.6682213, weightedAverage=4.1E-7]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=4.3E-7, low=4.0E-7, open=4.0E-7, close=4.3E-7, volume=0.27507684, quoteVolume=648123.10334602, weightedAverage=4.2E-7]
