Date,Open,High,Low,Close,Volume,Adj Close
2015-01-09,34.139999,36.18,33.25,35.599998,6848000,17.742175
2015-01-08,34.490002,36.50,29.93,31.280001,7254000,15.589193
2015-01-07,33.98,38.470001,32.369999,34.099998,8322000,16.994611
2015-01-06,32.52,38.139999,32.049999,36.990002,10226000,18.434918
2015-01-05,28.950001,31.92,27.24,31.74,6169000,15.818445
2015-01-02,22.60,27.50,22.26,27.24,7619000,13.575754
2014-12-31,23.92,25.49,22.559999,24.34,4590000,12.130465
2014-12-30,22.90,25.110001,22.690001,24.780001,7044000,12.349751
2014-12-29,22.629999,22.700001,20.92,21.50,6945000,10.715078
2014-12-26,23.42,23.65,22.02,22.82,5613000,11.372934
2014-12-24,18.549999,21.73,18.370001,20.870001,3797000,10.401102
2014-12-23,20.40,22.73,18.15,18.860001,6752000,9.399366
2014-12-22,2.43,2.51,1.92,2.02,5011000,10.06719
2014-12-19,2.65,2.72,2.41,2.54,4109000,12.658743
2014-12-18,2.36,2.78,2.25,2.68,6418000,13.356469
2014-12-17,1.90,2.28,1.84,2.19,6527000,10.914428
2014-12-16,2.24,2.29,1.82,1.86,7042000,9.269789
2014-12-15,2.47,2.62,1.99,2.02,6616000,10.06719
2014-12-12,2.80,2.89,2.60,2.66,5742000,13.256794
2014-12-11,2.90,3.22,2.84,2.86,6148000,14.253546
2014-12-10,3.52,3.76,3.18,3.23,6389000,15.539354
2014-12-09,3.55,3.80,3.47,3.53,7261000,16.982638
2014-12-08,3.22,3.34,2.58,3.18,9724000,15.298807
2014-12-05,3.09,3.30,2.98,3.05,6218000,14.673385
2014-12-04,3.80,3.88,3.37,3.42,6749000,16.453435
2014-12-03,3.74,4.05,3.65,3.70,5655000,17.800499
2014-12-02,3.82,4.10,3.31,3.50,8112000,16.83831
2014-12-01,3.79,4.47,3.65,4.34,8699000,20.879505
2014-11-28,4.43,4.45,3.34,3.40,6130000,16.357216
2014-11-26,5.62,5.75,5.30,5.30,2828000,25.498013
2014-11-25,5.33,5.69,5.26,5.69,4300000,27.374282
2014-11-24,5.37,5.69,5.23,5.23,4314000,25.161246
2014-11-21,5.84,5.93,5.18,5.40,7443000,25.979107
2014-11-20,5.16,5.50,4.86,5.20,6109000,25.016918
2014-11-19,5.85,5.95,4.60,4.65,9358000,22.370898
2014-11-18,5.32,6.09,5.29,5.93,6688000,28.528908
2014-11-17,4.19,4.96,4.00,4.94,5941000,23.766073
2014-11-14,3.37,4.40,3.25,4.26,8795000,20.494628
2014-11-13,4.27,4.30,3.55,3.63,5922000,17.463733
2014-11-12,4.25,4.57,3.65,3.91,5680000,18.810797
2014-11-11,3.71,4.40,3.65,4.05,5616000,19.48433
