PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=2.7E-7, low=2.4E-7, open=2.5E-7, close=2.5E-7, volume=1.1310786, quoteVolume=4437061.4383893, weightedAverage=2.5E-7]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.6E-7, close=2.4E-7, volume=0.5307858, quoteVolume=2170185.1152618, weightedAverage=2.4E-7]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=2.5E-7, low=2.3E-7, open=2.4E-7, close=2.4E-7, volume=1.53815349, quoteVolume=6633132.3407828, weightedAverage=2.3E-7]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=2.6E-7, low=2.3E-7, open=2.4E-7, close=2.4E-7, volume=0.4560113, quoteVolume=1885859.0301229, weightedAverage=2.4E-7]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.5E-7, close=2.4E-7, volume=0.58537151, quoteVolume=2435694.3663537, weightedAverage=2.4E-7]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=2.6E-7, low=2.3E-7, open=2.5E-7, close=2.6E-7, volume=2.54105101, quoteVolume=10483260.636972, weightedAverage=2.4E-7]
PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.5E-7, close=2.6E-7, volume=0.25350316, quoteVolume=1001394.3565682, weightedAverage=2.5E-7]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.6E-7, close=2.5E-7, volume=0.36295912, quoteVolume=1462480.3599778, weightedAverage=2.4E-7]
PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.6E-7, close=2.4E-7, volume=0.57524978, quoteVolume=2384624.3286697, weightedAverage=2.4E-7]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=2.6E-7, low=2.3E-7, open=2.5E-7, close=2.3E-7, volume=2.00355861, quoteVolume=8419619.0672821, weightedAverage=2.3E-7]
PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=2.4E-7, low=2.2E-7, open=2.4E-7, close=2.3E-7, volume=0.28532753, quoteVolume=1239609.9448447, weightedAverage=2.3E-7]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=2.5E-7, low=2.2E-7, open=2.3E-7, close=2.3E-7, volume=0.68465616, quoteVolume=2898856.340981, weightedAverage=2.3E-7]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=2.4E-7, low=2.2E-7, open=2.3E-7, close=2.4E-7, volume=0.58537312, quoteVolume=2558313.190445, weightedAverage=2.2E-7]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=2.5E-7, low=2.3E-7, open=2.3E-7, close=2.4E-7, volume=0.29923028, quoteVolume=1267831.9165789, weightedAverage=2.3E-7]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=2.4E-7, low=2.1E-7, open=2.4E-7, close=2.3E-7, volume=2.04109087, quoteVolume=9367677.53258, weightedAverage=2.1E-7]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=2.5E-7, low=2.2E-7, open=2.3E-7, close=2.4E-7, volume=1.0663914, quoteVolume=4500805.4937833, weightedAverage=2.3E-7]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=2.5E-7, low=2.2E-7, open=2.4E-7, close=2.3E-7, volume=0.57946953, quoteVolume=2596774.7568297, weightedAverage=2.2E-7]
