PoloniexChartData [date=2016-08-09 00:00:00 GMT, high=4.5E-7, low=4.0E-7, open=4.2E-7, close=4.2E-7, volume=1.50928034, quoteVolume=3518375.0433262, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-08-10 00:00:00 GMT, high=4.8E-7, low=4.1E-7, open=4.2E-7, close=4.5E-7, volume=2.81701422, quoteVolume=6445414.9361094, weightedAverage=4.3E-7]
PoloniexChartData [date=2016-08-11 00:00:00 GMT, high=4.8E-7, low=4.2E-7, open=4.5E-7, close=4.6E-7, volume=0.75930711, quoteVolume=1681530.7386263, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-08-12 00:00:00 GMT, high=4.5E-7, low=4.1E-7, open=4.5E-7, close=4.3E-7, volume=0.93383877, quoteVolume=2229089.9540487, weightedAverage=4.1E-7]
PoloniexChartData [date=2016-08-13 00:00:00 GMT, high=4.8E-7, low=3.9E-7, open=4.3E-7, close=4.4E-7, volume=1.54790347, quoteVolume=3556318.4367253, weightedAverage=4.3E-7]
PoloniexChartData [date=2016-08-14 00:00:00 GMT, high=4.7E-7, low=4.3E-7, open=4.5E-7, close=4.7E-7, volume=1.034137, quoteVolume=2259615.8258869, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-08-15 00:00:00 GMT, high=4.8E-7, low=4.4E-7, open=4.6E-7, close=4.5E-7, volume=0.35761477, quoteVolume=783481.38179408, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-08-16 00:00:00 GMT, high=4.7E-7, low=4.3E-7, open=4.7E-7, close=4.4E-7, volume=0.56106552, quoteVolume=1267615.5939189, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-08-17 00:00:00 GMT, high=4.5E-7, low=4.2E-7, open=4.4E-7, close=4.2E-7, volume=1.1460148, quoteVolume=2694399.1486271, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-08-18 00:00:00 GMT, high=4.3E-7, low=3.9E-7, open=4.3E-7, close=4.2E-7, volume=0.93300311, quoteVolume=2268770.6682213, weightedAverage=4.1E-7]
PoloniexChartData [date=2016-08-19 00:00:00 GMT, high=4.3E-7, low=4.0E-7, open=4.0E-7, close=4.3E-7, volume=0.27507684, quoteVolume=648123.10334602, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-08-20 00:00:00 GMT, high=5.1E-7, low=4.3E-7, open=4.3E-7, close=4.8E-7, volume=4.48718669, quoteVolume=9397983.5420338, weightedAverage=4.7E-7]
PoloniexChartData [date=2016-08-21 00:00:00 GMT, high=5.7E-7, low=4.7E-7, open=4.9E-7, close=5.3E-7, volume=2.82695095, quoteVolume=5417161.1106298, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-22 00:00:00 GMT, high=5.7E-7, low=4.7E-7, open=5.3E-7, close=5.0E-7, volume=1.23685762, quoteVolume=2440773.7339905, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-08-23 00:00:00 GMT, high=5.2E-7, low=4.3E-7, open=4.9E-7, close=4.6E-7, volume=1.63617393, quoteVolume=3589944.8539047, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-08-24 00:00:00 GMT, high=4.8E-7, low=4.3E-7, open=4.7E-7, close=4.4E-7, volume=0.46732557, quoteVolume=1027186.0755453, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-08-25 00:00:00 GMT, high=4.7E-7, low=4.2E-7, open=4.7E-7, close=4.4E-7, volume=0.57127665, quoteVolume=1332054.4213025, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-08-26 00:00:00 GMT, high=4.5E-7, low=4.3E-7, open=4.4E-7, close=4.5E-7, volume=0.55264139, quoteVolume=1265098.9629833, weightedAverage=4.3E-7]
PoloniexChartData [date=2016-08-27 00:00:00 GMT, high=4.5E-7, low=3.9E-7, open=4.5E-7, close=4.1E-7, volume=1.56025209, quoteVolume=3803383.9796562, weightedAverage=4.1E-7]
PoloniexChartData [date=2016-08-28 00:00:00 GMT, high=4.1E-7, low=3.6E-7, open=4.1E-7, close=3.8E-7, volume=0.7441312, quoteVolume=1953620.0477755, weightedAverage=3.8E-7]
PoloniexChartData [date=2016-08-29 00:00:00 GMT, high=4.4E-7, low=3.5E-7, open=3.8E-7, close=3.8E-7, volume=1.32247555, quoteVolume=3352728.6409718, weightedAverage=3.9E-7]
PoloniexChartData [date=2016-08-30 00:00:00 GMT, high=4.2E-7, low=3.8E-7, open=3.9E-7, close=4.2E-7, volume=0.49343903, quoteVolume=1190515.8792141, weightedAverage=4.1E-7]
PoloniexChartData [date=2016-08-31 00:00:00 GMT, high=4.4E-7, low=4.0E-7, open=4.2E-7, close=4.2E-7, volume=0.84969968, quoteVolume=2017268.1765555, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-09-01 00:00:00 GMT, high=5.0E-7, low=4.2E-7, open=4.3E-7, close=4.5E-7, volume=1.8232363, quoteVolume=3896934.4048441, weightedAverage=4.6E-7]
PoloniexChartData [date=2016-09-02 00:00:00 GMT, high=5.2E-7, low=4.4E-7, open=5.0E-7, close=4.7E-7, volume=1.87329143, quoteVolume=3856464.2855486, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-09-03 00:00:00 GMT, high=4.7E-7, low=4.2E-7, open=4.7E-7, close=4.3E-7, volume=0.83161871, quoteVolume=1863043.9279634, weightedAverage=4.4E-7]
