PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=3.9E-7, low=3.7E-7, open=3.9E-7, close=3.8E-7, volume=78.48193614, quoteVolume=208863421.35148, weightedAverage=3.7E-7]
PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=3.8E-7, low=3.6E-7, open=3.7E-7, close=3.7E-7, volume=55.37761999, quoteVolume=150708219.17389, weightedAverage=3.6E-7]
PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=3.8E-7, low=3.6E-7, open=3.7E-7, close=3.7E-7, volume=45.45697636, quoteVolume=123217939.20569, weightedAverage=3.6E-7]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=3.7E-7, low=3.5E-7, open=3.6E-7, close=3.7E-7, volume=85.00858326, quoteVolume=236433004.50273, weightedAverage=3.5E-7]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=3.8E-7, low=3.5E-7, open=3.6E-7, close=3.7E-7, volume=106.79616533, quoteVolume=295294825.14555, weightedAverage=3.6E-7]
PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=4.0E-7, low=3.5E-7, open=3.7E-7, close=3.9E-7, volume=174.26861461, quoteVolume=464966862.87666, weightedAverage=3.7E-7]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=4.0E-7, low=3.6E-7, open=4.0E-7, close=3.7E-7, volume=187.83214423, quoteVolume=500023173.44266, weightedAverage=3.7E-7]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=3.8E-7, low=3.6E-7, open=3.7E-7, close=3.7E-7, volume=38.88207344, quoteVolume=104110636.3385, weightedAverage=3.7E-7]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=3.8E-7, low=3.5E-7, open=3.8E-7, close=3.7E-7, volume=130.95668636, quoteVolume=357977805.61614, weightedAverage=3.6E-7]
PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=3.7E-7, low=3.5E-7, open=3.7E-7, close=3.5E-7, volume=76.05030057, quoteVolume=210953245.68033, weightedAverage=3.6E-7]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=3.7E-7, low=3.5E-7, open=3.5E-7, close=3.6E-7, volume=7.06791198, quoteVolume=19708174.328425, weightedAverage=3.5E-7]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=3.7E-7, low=3.5E-7, open=3.6E-7, close=3.6E-7, volume=41.95471128, quoteVolume=116340061.13151, weightedAverage=3.6E-7]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=3.7E-7, low=3.5E-7, open=3.6E-7, close=3.7E-7, volume=18.4974811, quoteVolume=51134580.7069, weightedAverage=3.6E-7]
PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=3.7E-7, low=3.6E-7, open=3.7E-7, close=3.7E-7, volume=24.27451775, quoteVolume=66680021.286354, weightedAverage=3.6E-7]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=3.8E-7, low=3.6E-7, open=3.6E-7, close=3.6E-7, volume=56.8265756, quoteVolume=155239994.10631, weightedAverage=3.6E-7]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=3.9E-7, low=3.6E-7, open=3.7E-7, close=3.8E-7, volume=105.89967001, quoteVolume=284776587.63309, weightedAverage=3.7E-7]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=3.9E-7, low=3.7E-7, open=3.8E-7, close=3.9E-7, volume=62.46004937, quoteVolume=162707876.89933, weightedAverage=3.8E-7]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=3.9E-7, low=3.7E-7, open=3.8E-7, close=3.8E-7, volume=60.19517625, quoteVolume=159707018.97545, weightedAverage=3.7E-7]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=3.9E-7, low=3.7E-7, open=3.8E-7, close=3.9E-7, volume=52.1576967, quoteVolume=138067749.09189, weightedAverage=3.7E-7]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=4.1E-7, low=3.8E-7, open=3.9E-7, close=4.0E-7, volume=234.25673219, quoteVolume=595074986.99309, weightedAverage=3.9E-7]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=4.9E-7, low=3.8E-7, open=4.0E-7, close=4.4E-7, volume=1727.93683442, quoteVolume=3936354375.664, weightedAverage=4.3E-7]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=4.5E-7, low=3.8E-7, open=4.5E-7, close=4.0E-7, volume=711.77402346, quoteVolume=1736452089.6887, weightedAverage=4.0E-7]
PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=3.9E-7, close=4.0E-7, volume=304.85963411, quoteVolume=764657137.3367, weightedAverage=3.9E-7]
