PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=8.6E-7, low=7.6E-7, open=8.2E-7, close=7.7E-7, volume=14.41563626, quoteVolume=17971149.01481, weightedAverage=8.0E-7]
PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=8.6E-7, low=7.5E-7, open=7.7E-7, close=7.8E-7, volume=12.85443961, quoteVolume=16185127.373223, weightedAverage=7.9E-7]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=8.7E-7, low=7.5E-7, open=7.7E-7, close=7.8E-7, volume=11.6417543, quoteVolume=14541661.749325, weightedAverage=8.0E-7]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=8.1E-7, low=7.1E-7, open=7.9E-7, close=7.4E-7, volume=15.20958261, quoteVolume=20193648.744678, weightedAverage=7.5E-7]
PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=7.6E-7, low=7.0E-7, open=7.4E-7, close=7.2E-7, volume=11.83513876, quoteVolume=16524759.260263, weightedAverage=7.1E-7]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=7.3E-7, low=6.3E-7, open=7.1E-7, close=6.4E-7, volume=14.17420361, quoteVolume=20580925.198532, weightedAverage=6.8E-7]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=7.0E-7, low=6.1E-7, open=6.4E-7, close=6.2E-7, volume=8.16736782, quoteVolume=12313629.704669, weightedAverage=6.6E-7]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=7.1E-7, low=6.0E-7, open=6.2E-7, close=6.3E-7, volume=8.97504503, quoteVolume=13922597.273664, weightedAverage=6.4E-7]
PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=6.4E-7, low=5.8E-7, open=6.3E-7, close=6.0E-7, volume=6.08849305, quoteVolume=10016958.229204, weightedAverage=6.0E-7]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=6.2E-7, low=5.7E-7, open=6.0E-7, close=5.7E-7, volume=2.08383909, quoteVolume=3533548.066446, weightedAverage=5.8E-7]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=7.1E-7, low=5.7E-7, open=5.7E-7, close=6.7E-7, volume=12.16109274, quoteVolume=18642748.169197, weightedAverage=6.5E-7]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=7.0E-7, low=6.1E-7, open=6.5E-7, close=6.2E-7, volume=14.58998852, quoteVolume=22938815.788846, weightedAverage=6.3E-7]
PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=6.6E-7, low=6.1E-7, open=6.5E-7, close=6.6E-7, volume=12.45208949, quoteVolume=19508969.504049, weightedAverage=6.3E-7]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=6.6E-7, low=5.8E-7, open=6.6E-7, close=6.2E-7, volume=11.95726599, quoteVolume=19545326.835162, weightedAverage=6.1E-7]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=6.0E-7, low=4.3E-7, open=6.0E-7, close=4.9E-7, volume=13.14907027, quoteVolume=25133179.78912, weightedAverage=5.2E-7]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=5.6E-7, low=4.2E-7, open=5.0E-7, close=5.1E-7, volume=9.29387278, quoteVolume=19538052.012321, weightedAverage=4.7E-7]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=5.4E-7, low=4.3E-7, open=5.1E-7, close=4.8E-7, volume=5.04364747, quoteVolume=10881372.114305, weightedAverage=4.6E-7]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=6.8E-7, low=4.5E-7, open=4.7E-7, close=6.5E-7, volume=11.46918437, quoteVolume=19123611.337654, weightedAverage=5.9E-7]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=6.4E-7, low=4.4E-7, open=6.1E-7, close=5.6E-7, volume=15.20400942, quoteVolume=29152565.95631, weightedAverage=5.2E-7]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=6.0E-7, low=5.0E-7, open=5.4E-7, close=5.7E-7, volume=16.2841456, quoteVolume=29117212.467788, weightedAverage=5.5E-7]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=6.4E-7, low=5.6E-7, open=6.0E-7, close=6.0E-7, volume=8.17524515, quoteVolume=13535700.72932, weightedAverage=6.0E-7]
PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=6.2E-7, low=5.4E-7, open=5.8E-7, close=5.5E-7, volume=8.63483079, quoteVolume=15118112.110331, weightedAverage=5.7E-7]
PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=5.9E-7, low=5.2E-7, open=5.6E-7, close=5.5E-7, volume=5.62318752, quoteVolume=10511361.092107, weightedAverage=5.3E-7]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=5.8E-7, low=4.5E-7, open=5.5E-7, close=5.4E-7, volume=12.93127713, quoteVolume=24660806.970815, weightedAverage=5.2E-7]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=5.7E-7, low=5.0E-7, open=5.4E-7, close=5.3E-7, volume=5.16895736, quoteVolume=9735015.6768476, weightedAverage=5.3E-7]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=5.5E-7, low=5.2E-7, open=5.4E-7, close=5.5E-7, volume=4.55604255, quoteVolume=8540618.2517069, weightedAverage=5.3E-7]
PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=5.8E-7, low=5.4E-7, open=5.5E-7, close=5.4E-7, volume=7.17365276, quoteVolume=13011592.698045, weightedAverage=5.5E-7]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=6.0E-7, low=5.3E-7, open=5.6E-7, close=5.4E-7, volume=4.80125831, quoteVolume=8516297.8400768, weightedAverage=5.6E-7]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=5.8E-7, low=5.4E-7, open=5.5E-7, close=5.4E-7, volume=2.62762253, quoteVolume=4755088.0484811, weightedAverage=5.5E-7]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=5.7E-7, low=5.2E-7, open=5.5E-7, close=5.5E-7, volume=4.822825, quoteVolume=8944989.7300792, weightedAverage=5.3E-7]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=5.5E-7, low=5.1E-7, open=5.4E-7, close=5.4E-7, volume=7.18955002, quoteVolume=13728021.622051, weightedAverage=5.2E-7]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=5.5E-7, low=4.9E-7, open=5.2E-7, close=5.2E-7, volume=4.47456565, quoteVolume=8753267.6459428, weightedAverage=5.1E-7]
PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=5.2E-7, low=5.0E-7, open=5.2E-7, close=5.0E-7, volume=3.72295482, quoteVolume=7283763.1658029, weightedAverage=5.1E-7]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=5.2E-7, low=5.0E-7, open=5.1E-7, close=5.0E-7, volume=2.29085561, quoteVolume=4505854.1427391, weightedAverage=5.0E-7]
