PoloniexChartData [date=2015-06-14 00:00:00 GMT, high=3.5E-7, low=3.0E-7, open=3.4E-7, close=3.1E-7, volume=0.04116517, quoteVolume=126202.78725468, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-06-15 00:00:00 GMT, high=3.2E-7, low=3.0E-7, open=3.2E-7, close=3.0E-7, volume=0.10506287, quoteVolume=349728.77747725, weightedAverage=3.0E-7]
PoloniexChartData [date=2015-06-16 00:00:00 GMT, high=3.0E-7, low=2.9E-7, open=3.0E-7, close=3.0E-7, volume=0.24137868, quoteVolume=816196.81181191, weightedAverage=2.9E-7]
PoloniexChartData [date=2015-06-17 00:00:00 GMT, high=3.4E-7, low=3.0E-7, open=3.0E-7, close=3.0E-7, volume=0.12342104, quoteVolume=385415.80629977, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-06-18 00:00:00 GMT, high=3.7E-7, low=3.2E-7, open=3.4E-7, close=3.3E-7, volume=0.09528997, quoteVolume=269817.37557446, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-06-19 00:00:00 GMT, high=3.7E-7, low=3.3E-7, open=3.4E-7, close=3.5E-7, volume=0.02662467, quoteVolume=77409.27402769, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-06-20 00:00:00 GMT, high=3.8E-7, low=3.4E-7, open=3.5E-7, close=3.8E-7, volume=0.07210523, quoteVolume=198934.35525017, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-06-21 00:00:00 GMT, high=3.7E-7, low=3.3E-7, open=3.4E-7, close=3.7E-7, volume=0.07661775, quoteVolume=229647.27103519, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-06-22 00:00:00 GMT, high=3.5E-7, low=3.3E-7, open=3.4E-7, close=3.3E-7, volume=0.00718833, quoteVolume=20725.8327, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-06-23 00:00:00 GMT, high=3.6E-7, low=3.0E-7, open=3.3E-7, close=3.2E-7, volume=0.06364877, quoteVolume=196656.24583356, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-06-24 00:00:00 GMT, high=3.5E-7, low=3.5E-7, open=3.5E-7, close=3.5E-7, volume=0.00877958, quoteVolume=25084.53891597, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-06-25 00:00:00 GMT, high=3.6E-7, low=3.3E-7, open=3.5E-7, close=3.5E-7, volume=0.12846161, quoteVolume=364697.8427489, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-06-26 00:00:00 GMT, high=3.8E-7, low=3.5E-7, open=3.6E-7, close=3.8E-7, volume=0.13068337, quoteVolume=354628.56875816, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-06-27 00:00:00 GMT, high=3.8E-7, low=3.4E-7, open=3.8E-7, close=3.5E-7, volume=0.13203874, quoteVolume=371666.73224699, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-06-28 00:00:00 GMT, high=3.7E-7, low=3.4E-7, open=3.7E-7, close=3.4E-7, volume=0.03254974, quoteVolume=90127.7363793, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-06-29 00:00:00 GMT, high=3.6E-7, low=3.3E-7, open=3.4E-7, close=3.5E-7, volume=0.01485083, quoteVolume=43495.53684019, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-06-30 00:00:00 GMT, high=3.5E-7, low=3.4E-7, open=3.4E-7, close=3.5E-7, volume=0.00724097, quoteVolume=20939.20304714, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-07-01 00:00:00 GMT, high=3.6E-7, low=3.4E-7, open=3.4E-7, close=3.6E-7, volume=0.08682973, quoteVolume=242546.53228258, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-07-02 00:00:00 GMT, high=3.6E-7, low=3.6E-7, open=3.6E-7, close=3.6E-7, volume=0, quoteVolume=0, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-07-03 00:00:00 GMT, high=3.7E-7, low=3.4E-7, open=3.6E-7, close=3.4E-7, volume=0.07054185, quoteVolume=196962.21683908, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-07-04 00:00:00 GMT, high=3.7E-7, low=3.3E-7, open=3.4E-7, close=3.7E-7, volume=0.10419018, quoteVolume=294637.42531466, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-07-05 00:00:00 GMT, high=3.7E-7, low=3.2E-7, open=3.7E-7, close=3.5E-7, volume=0.33491271, quoteVolume=1002373.4032132, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-07-06 00:00:00 GMT, high=3.6E-7, low=3.2E-7, open=3.2E-7, close=3.6E-7, volume=0.02714257, quoteVolume=78674.35191609, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-07-07 00:00:00 GMT, high=3.6E-7, low=3.2E-7, open=3.5E-7, close=3.6E-7, volume=0.17149431, quoteVolume=497657.50348001, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-07-08 00:00:00 GMT, high=3.6E-7, low=3.2E-7, open=3.2E-7, close=3.6E-7, volume=0.09761028, quoteVolume=293361.91666666, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-07-09 00:00:00 GMT, high=3.6E-7, low=3.0E-7, open=3.5E-7, close=3.6E-7, volume=0.2451824, quoteVolume=750952.31788973, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-07-10 00:00:00 GMT, high=3.5E-7, low=3.1E-7, open=3.5E-7, close=3.1E-7, volume=0.09681442, quoteVolume=295258.03274325, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-07-11 00:00:00 GMT, high=3.5E-7, low=3.1E-7, open=3.5E-7, close=3.5E-7, volume=0.04269573, quoteVolume=135700.77163528, weightedAverage=3.1E-7]
PoloniexChartData [date=2015-07-12 00:00:00 GMT, high=3.6E-7, low=3.1E-7, open=3.1E-7, close=3.2E-7, volume=0.24326038, quoteVolume=694077.52567373, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-07-13 00:00:00 GMT, high=3.5E-7, low=3.5E-7, open=3.5E-7, close=3.5E-7, volume=0.00401382, quoteVolume=11468.05714286, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-07-14 00:00:00 GMT, high=3.3E-7, low=3.1E-7, open=3.3E-7, close=3.1E-7, volume=0.05011136, quoteVolume=156493.89293916, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-07-15 00:00:00 GMT, high=3.2E-7, low=3.2E-7, open=3.2E-7, close=3.2E-7, volume=0.01807809, quoteVolume=56494.03125, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-07-16 00:00:00 GMT, high=3.4E-7, low=3.4E-7, open=3.4E-7, close=3.4E-7, volume=0.00024919, quoteVolume=732.94117647, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-07-17 00:00:00 GMT, high=3.4E-7, low=3.4E-7, open=3.4E-7, close=3.4E-7, volume=0.00457223, quoteVolume=13447.73529412, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-07-18 00:00:00 GMT, high=3.5E-7, low=3.2E-7, open=3.3E-7, close=3.2E-7, volume=0.19963077, quoteVolume=601882.39311571, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-07-19 00:00:00 GMT, high=3.5E-7, low=3.2E-7, open=3.3E-7, close=3.2E-7, volume=0.24517825, quoteVolume=737220.35508945, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-07-20 00:00:00 GMT, high=3.3E-7, low=3.0E-7, open=3.2E-7, close=3.0E-7, volume=0.1004367, quoteVolume=325657.03298684, weightedAverage=3.0E-7]
PoloniexChartData [date=2015-07-21 00:00:00 GMT, high=3.3E-7, low=3.2E-7, open=3.2E-7, close=3.3E-7, volume=0.04115205, quoteVolume=125066.06909091, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-07-22 00:00:00 GMT, high=3.5E-7, low=3.3E-7, open=3.3E-7, close=3.5E-7, volume=0.15997974, quoteVolume=460313.25299225, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-07-23 00:00:00 GMT, high=3.5E-7, low=3.3E-7, open=3.5E-7, close=3.5E-7, volume=0.0444203, quoteVolume=126999.83171049, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-07-24 00:00:00 GMT, high=3.5E-7, low=3.3E-7, open=3.5E-7, close=3.3E-7, volume=0.02213655, quoteVolume=65151.49749527, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-07-25 00:00:00 GMT, high=3.8E-7, low=3.4E-7, open=3.5E-7, close=3.4E-7, volume=0.55023866, quoteVolume=1533133.8853588, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-07-26 00:00:00 GMT, high=3.7E-7, low=3.3E-7, open=3.7E-7, close=3.3E-7, volume=0.12576613, quoteVolume=376567.55372381, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-07-27 00:00:00 GMT, high=3.7E-7, low=3.2E-7, open=3.7E-7, close=3.2E-7, volume=0.14100403, quoteVolume=423692.31244505, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-07-28 00:00:00 GMT, high=3.3E-7, low=3.1E-7, open=3.3E-7, close=3.1E-7, volume=0.03832866, quoteVolume=119732.88408606, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-07-29 00:00:00 GMT, high=3.5E-7, low=3.0E-7, open=3.2E-7, close=3.0E-7, volume=0.29828397, quoteVolume=946098.79050269, weightedAverage=3.1E-7]
PoloniexChartData [date=2015-07-30 00:00:00 GMT, high=3.8E-7, low=3.3E-7, open=3.4E-7, close=3.8E-7, volume=0.4130945, quoteVolume=1135920.4028899, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-07-31 00:00:00 GMT, high=3.4E-7, low=3.0E-7, open=3.4E-7, close=3.4E-7, volume=1.14443533, quoteVolume=3681237.4228858, weightedAverage=3.1E-7]
PoloniexChartData [date=2015-08-01 00:00:00 GMT, high=3.5E-7, low=3.0E-7, open=3.3E-7, close=3.0E-7, volume=0.34126954, quoteVolume=1106137.1057624, weightedAverage=3.0E-7]
PoloniexChartData [date=2015-08-02 00:00:00 GMT, high=3.3E-7, low=3.2E-7, open=3.3E-7, close=3.2E-7, volume=0.04170328, quoteVolume=129382.09794838, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-08-03 00:00:00 GMT, high=3.4E-7, low=3.3E-7, open=3.3E-7, close=3.4E-7, volume=0.01780425, quoteVolume=52437.13455293, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-08-04 00:00:00 GMT, high=4.1E-7, low=3.4E-7, open=3.4E-7, close=3.8E-7, volume=1.98662294, quoteVolume=5326253.9712428, weightedAverage=3.7E-7]
PoloniexChartData [date=2015-08-05 00:00:00 GMT, high=0.00000116, low=4.0E-7, open=4.0E-7, close=9.4E-7, volume=18.74412917, quoteVolume=23251868.35533, weightedAverage=8.0E-7]
PoloniexChartData [date=2015-08-06 00:00:00 GMT, high=9.0E-7, low=4.4E-7, open=7.2E-7, close=5.4E-7, volume=10.47660261, quoteVolume=19582976.649552, weightedAverage=5.3E-7]
PoloniexChartData [date=2015-08-07 00:00:00 GMT, high=5.2E-7, low=4.0E-7, open=5.2E-7, close=4.0E-7, volume=1.24992094, quoteVolume=2802959.1571372, weightedAverage=4.4E-7]
