PoloniexChartData [date=2016-07-30 00:00:00 GMT, high=0.00000165, low=0.00000141, open=0.00000147, close=0.00000147, volume=0.60211278, quoteVolume=390966.16239332, weightedAverage=0.00000154]
PoloniexChartData [date=2016-07-31 00:00:00 GMT, high=0.0000016, low=0.00000148, open=0.00000148, close=0.0000016, volume=0.27661492, quoteVolume=179440.05475075, weightedAverage=0.00000154]
PoloniexChartData [date=2016-08-01 00:00:00 GMT, high=0.00000163, low=0.00000143, open=0.00000159, close=0.00000143, volume=0.6275404, quoteVolume=419521.98299993, weightedAverage=0.00000149]
PoloniexChartData [date=2016-08-02 00:00:00 GMT, high=0.00000151, low=0.00000133, open=0.00000151, close=0.00000136, volume=1.13915425, quoteVolume=824411.429283, weightedAverage=0.00000138]
PoloniexChartData [date=2016-08-03 00:00:00 GMT, high=0.00000149, low=0.00000131, open=0.00000136, close=0.00000141, volume=0.82207632, quoteVolume=598906.803139, weightedAverage=0.00000137]
PoloniexChartData [date=2016-08-04 00:00:00 GMT, high=0.0000015, low=0.00000142, open=0.00000147, close=0.00000148, volume=0.16865621, quoteVolume=114273.6026159, weightedAverage=0.00000147]
PoloniexChartData [date=2016-08-05 00:00:00 GMT, high=0.00000149, low=0.00000129, open=0.00000149, close=0.00000144, volume=1.05645047, quoteVolume=804229.41548696, weightedAverage=0.00000131]
PoloniexChartData [date=2016-08-06 00:00:00 GMT, high=0.00000147, low=0.00000129, open=0.00000144, close=0.00000144, volume=0.54496601, quoteVolume=400816.03902022, weightedAverage=0.00000135]
PoloniexChartData [date=2016-08-07 00:00:00 GMT, high=0.0000017, low=0.00000133, open=0.00000143, close=0.00000158, volume=1.61040977, quoteVolume=1040032.9961071, weightedAverage=0.00000154]
PoloniexChartData [date=2016-08-08 00:00:00 GMT, high=0.00000163, low=0.00000136, open=0.00000155, close=0.00000148, volume=1.89929617, quoteVolume=1316319.1246502, weightedAverage=0.00000144]
PoloniexChartData [date=2016-08-09 00:00:00 GMT, high=0.00000151, low=0.00000142, open=0.0000015, close=0.00000144, volume=0.10739577, quoteVolume=72696.12098492, weightedAverage=0.00000147]
PoloniexChartData [date=2016-08-10 00:00:00 GMT, high=0.0000016, low=0.00000131, open=0.00000143, close=0.0000015, volume=3.03837964, quoteVolume=2113153.9798624, weightedAverage=0.00000143]
PoloniexChartData [date=2016-08-11 00:00:00 GMT, high=0.00000158, low=0.00000134, open=0.00000149, close=0.00000158, volume=1.84167772, quoteVolume=1259409.5473065, weightedAverage=0.00000146]
PoloniexChartData [date=2016-08-12 00:00:00 GMT, high=0.00000165, low=0.00000151, open=0.00000154, close=0.00000165, volume=1.32470573, quoteVolume=819013.31901563, weightedAverage=0.00000161]
PoloniexChartData [date=2016-08-13 00:00:00 GMT, high=0.0000018, low=0.00000156, open=0.00000166, close=0.0000017, volume=1.30352252, quoteVolume=759960.67720381, weightedAverage=0.00000171]
PoloniexChartData [date=2016-08-14 00:00:00 GMT, high=0.00000186, low=0.00000157, open=0.00000179, close=0.00000167, volume=2.7512062, quoteVolume=1592188.9047062, weightedAverage=0.00000172]
PoloniexChartData [date=2016-08-15 00:00:00 GMT, high=0.00000176, low=0.00000154, open=0.00000169, close=0.00000163, volume=1.49137546, quoteVolume=930869.32644382, weightedAverage=0.0000016]
PoloniexChartData [date=2016-08-16 00:00:00 GMT, high=0.00000167, low=0.00000155, open=0.00000167, close=0.00000164, volume=0.38008533, quoteVolume=238523.84811689, weightedAverage=0.00000159]
PoloniexChartData [date=2016-08-17 00:00:00 GMT, high=0.0000017, low=0.00000154, open=0.0000017, close=0.00000165, volume=0.43714037, quoteVolume=274503.82752194, weightedAverage=0.00000159]
PoloniexChartData [date=2016-08-18 00:00:00 GMT, high=0.00000168, low=0.00000158, open=0.00000161, close=0.00000163, volume=0.12248624, quoteVolume=74655.15098449, weightedAverage=0.00000164]
PoloniexChartData [date=2016-08-19 00:00:00 GMT, high=0.00000168, low=0.00000157, open=0.00000163, close=0.00000161, volume=0.21171873, quoteVolume=130622.57831184, weightedAverage=0.00000162]
PoloniexChartData [date=2016-08-20 00:00:00 GMT, high=0.00000173, low=0.00000157, open=0.0000016, close=0.00000165, volume=0.25274901, quoteVolume=151256.94477874, weightedAverage=0.00000167]
PoloniexChartData [date=2016-08-21 00:00:00 GMT, high=0.00000177, low=0.00000161, open=0.00000165, close=0.00000162, volume=0.37965367, quoteVolume=224265.41024847, weightedAverage=0.00000169]
PoloniexChartData [date=2016-08-22 00:00:00 GMT, high=0.00000176, low=0.00000157, open=0.00000173, close=0.00000167, volume=0.24300211, quoteVolume=150264.99462463, weightedAverage=0.00000161]
PoloniexChartData [date=2016-08-23 00:00:00 GMT, high=0.00000191, low=0.00000153, open=0.00000162, close=0.00000161, volume=2.73005691, quoteVolume=1619172.9345137, weightedAverage=0.00000168]
PoloniexChartData [date=2016-08-24 00:00:00 GMT, high=0.00000168, low=0.00000147, open=0.00000161, close=0.00000152, volume=2.19148564, quoteVolume=1428511.0478005, weightedAverage=0.00000153]
PoloniexChartData [date=2016-08-25 00:00:00 GMT, high=0.00000156, low=0.0000014, open=0.00000153, close=0.00000152, volume=0.20724177, quoteVolume=140787.60955979, weightedAverage=0.00000147]
PoloniexChartData [date=2016-08-26 00:00:00 GMT, high=0.00000149, low=0.00000139, open=0.00000148, close=0.00000143, volume=0.38251655, quoteVolume=269089.17002834, weightedAverage=0.00000142]
PoloniexChartData [date=2016-08-27 00:00:00 GMT, high=0.00000195, low=0.00000144, open=0.00000145, close=0.00000174, volume=2.85319156, quoteVolume=1617779.0351687, weightedAverage=0.00000176]
PoloniexChartData [date=2016-08-28 00:00:00 GMT, high=0.00000187, low=0.00000158, open=0.00000177, close=0.00000171, volume=0.47262086, quoteVolume=274806.28875667, weightedAverage=0.00000171]
PoloniexChartData [date=2016-08-29 00:00:00 GMT, high=0.0000018, low=0.00000156, open=0.0000017, close=0.00000164, volume=0.4785713, quoteVolume=290488.63734253, weightedAverage=0.00000164]
PoloniexChartData [date=2016-08-30 00:00:00 GMT, high=0.0000018, low=0.00000162, open=0.00000164, close=0.00000171, volume=0.27231038, quoteVolume=158652.32299652, weightedAverage=0.00000171]
PoloniexChartData [date=2016-08-31 00:00:00 GMT, high=0.00000182, low=0.00000151, open=0.00000181, close=0.0000017, volume=2.24949825, quoteVolume=1338046.2110593, weightedAverage=0.00000168]
PoloniexChartData [date=2016-09-01 00:00:00 GMT, high=0.00000176, low=0.00000151, open=0.00000171, close=0.00000169, volume=3.04231886, quoteVolume=1954341.4943433, weightedAverage=0.00000155]
PoloniexChartData [date=2016-09-02 00:00:00 GMT, high=0.00000183, low=0.00000169, open=0.00000169, close=0.00000183, volume=1.28697623, quoteVolume=722677.18957145, weightedAverage=0.00000178]
PoloniexChartData [date=2016-09-03 00:00:00 GMT, high=0.00000183, low=0.00000165, open=0.00000181, close=0.00000167, volume=1.03458787, quoteVolume=606759.69325288, weightedAverage=0.0000017]
PoloniexChartData [date=2016-09-04 00:00:00 GMT, high=0.00000169, low=0.00000155, open=0.00000167, close=0.00000167, volume=1.34419443, quoteVolume=821553.65500852, weightedAverage=0.00000163]
PoloniexChartData [date=2016-09-05 00:00:00 GMT, high=0.00000183, low=0.00000153, open=0.00000167, close=0.00000171, volume=2.05389324, quoteVolume=1217575.0440824, weightedAverage=0.00000168]
PoloniexChartData [date=2016-09-06 00:00:00 GMT, high=0.00000178, low=0.00000155, open=0.00000174, close=0.00000178, volume=0.74242163, quoteVolume=434172.20291404, weightedAverage=0.0000017]
PoloniexChartData [date=2016-09-07 00:00:00 GMT, high=0.00000178, low=0.00000165, open=0.00000177, close=0.00000165, volume=1.38143162, quoteVolume=788226.31403831, weightedAverage=0.00000175]
PoloniexChartData [date=2016-09-08 00:00:00 GMT, high=0.00000223, low=0.0000016, open=0.00000174, close=0.00000223, volume=13.55293463, quoteVolume=6931743.1051752, weightedAverage=0.00000195]
PoloniexChartData [date=2016-09-09 00:00:00 GMT, high=0.00000266, low=0.00000185, open=0.0000022, close=0.00000236, volume=25.66519156, quoteVolume=11708434.275782, weightedAverage=0.00000219]
PoloniexChartData [date=2016-09-10 00:00:00 GMT, high=0.00000238, low=0.0000019, open=0.00000236, close=0.00000219, volume=6.67917973, quoteVolume=3249779.8516535, weightedAverage=0.00000205]
