PoloniexChartData [date=2016-07-27 00:00:00 GMT, high=6.1E-7, low=5.3E-7, open=6.0E-7, close=5.4E-7, volume=59.29904106, quoteVolume=106829268.06582, weightedAverage=5.5E-7]
PoloniexChartData [date=2016-07-28 00:00:00 GMT, high=5.6E-7, low=5.2E-7, open=5.4E-7, close=5.4E-7, volume=25.3642696, quoteVolume=47248100.576581, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-07-29 00:00:00 GMT, high=5.7E-7, low=5.3E-7, open=5.6E-7, close=5.6E-7, volume=41.25806032, quoteVolume=74709214.823753, weightedAverage=5.5E-7]
PoloniexChartData [date=2016-07-30 00:00:00 GMT, high=6.3E-7, low=5.5E-7, open=5.6E-7, close=5.7E-7, volume=103.12801065, quoteVolume=172295037.33571, weightedAverage=5.9E-7]
PoloniexChartData [date=2016-07-31 00:00:00 GMT, high=6.0E-7, low=5.6E-7, open=5.7E-7, close=5.8E-7, volume=24.61522143, quoteVolume=42871011.810019, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-08-01 00:00:00 GMT, high=5.9E-7, low=5.4E-7, open=5.8E-7, close=5.6E-7, volume=48.13815711, quoteVolume=85942146.113583, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-08-02 00:00:00 GMT, high=5.7E-7, low=4.9E-7, open=5.5E-7, close=5.0E-7, volume=236.98633253, quoteVolume=449982903.83516, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-03 00:00:00 GMT, high=5.5E-7, low=4.8E-7, open=5.1E-7, close=5.3E-7, volume=95.54974673, quoteVolume=183513170.10244, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-04 00:00:00 GMT, high=5.5E-7, low=5.1E-7, open=5.4E-7, close=5.2E-7, volume=40.89942934, quoteVolume=77994825.707461, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-05 00:00:00 GMT, high=5.4E-7, low=5.2E-7, open=5.2E-7, close=5.2E-7, volume=23.59091525, quoteVolume=44667796.522069, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-06 00:00:00 GMT, high=5.6E-7, low=5.1E-7, open=5.2E-7, close=5.4E-7, volume=48.98719575, quoteVolume=91540780.236441, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-08-07 00:00:00 GMT, high=5.5E-7, low=5.0E-7, open=5.3E-7, close=5.2E-7, volume=81.35947603, quoteVolume=156137060.25723, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-08 00:00:00 GMT, high=5.5E-7, low=5.1E-7, open=5.2E-7, close=5.2E-7, volume=21.79259831, quoteVolume=40933851.291839, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-08-09 00:00:00 GMT, high=5.5E-7, low=5.2E-7, open=5.2E-7, close=5.3E-7, volume=24.00128335, quoteVolume=45039016.820919, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-08-10 00:00:00 GMT, high=5.4E-7, low=4.9E-7, open=5.3E-7, close=5.1E-7, volume=77.28359847, quoteVolume=150384227.55897, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-08-11 00:00:00 GMT, high=5.5E-7, low=5.0E-7, open=5.0E-7, close=5.4E-7, volume=52.49849192, quoteVolume=99565041.639721, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-12 00:00:00 GMT, high=5.6E-7, low=5.3E-7, open=5.3E-7, close=5.4E-7, volume=46.0552187, quoteVolume=84846596.830701, weightedAverage=5.4E-7]
