PoloniexChartData [date=2015-07-05 00:00:00 GMT, high=5.4E-7, low=4.5E-7, open=5.3E-7, close=4.6E-7, volume=10.4811025, quoteVolume=21644228.337993, weightedAverage=4.8E-7]
PoloniexChartData [date=2015-07-06 00:00:00 GMT, high=4.8E-7, low=4.6E-7, open=4.6E-7, close=4.7E-7, volume=1.16673544, quoteVolume=2489822.0474846, weightedAverage=4.6E-7]
PoloniexChartData [date=2015-07-07 00:00:00 GMT, high=5.8E-7, low=4.5E-7, open=4.7E-7, close=5.5E-7, volume=8.50981319, quoteVolume=16904366.810892, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-07-08 00:00:00 GMT, high=5.9E-7, low=5.4E-7, open=5.5E-7, close=5.8E-7, volume=2.49241116, quoteVolume=4449028.9412451, weightedAverage=5.6E-7]
PoloniexChartData [date=2015-07-09 00:00:00 GMT, high=5.8E-7, low=5.3E-7, open=5.8E-7, close=5.5E-7, volume=3.04565579, quoteVolume=5458232.475797, weightedAverage=5.5E-7]
PoloniexChartData [date=2015-07-10 00:00:00 GMT, high=5.5E-7, low=4.8E-7, open=5.5E-7, close=5.1E-7, volume=5.05258921, quoteVolume=9772565.399979, weightedAverage=5.1E-7]
PoloniexChartData [date=2015-07-11 00:00:00 GMT, high=6.5E-7, low=4.9E-7, open=5.2E-7, close=5.5E-7, volume=10.94493849, quoteVolume=19036253.123982, weightedAverage=5.7E-7]
PoloniexChartData [date=2015-07-12 00:00:00 GMT, high=5.7E-7, low=5.0E-7, open=5.6E-7, close=5.1E-7, volume=5.0060632, quoteVolume=9611794.4628706, weightedAverage=5.2E-7]
PoloniexChartData [date=2015-07-13 00:00:00 GMT, high=6.0E-7, low=5.1E-7, open=5.1E-7, close=5.4E-7, volume=6.58743976, quoteVolume=11744389.191253, weightedAverage=5.6E-7]
PoloniexChartData [date=2015-07-14 00:00:00 GMT, high=5.7E-7, low=5.3E-7, open=5.4E-7, close=5.4E-7, volume=1.79109473, quoteVolume=3321585.9351129, weightedAverage=5.3E-7]
PoloniexChartData [date=2015-07-15 00:00:00 GMT, high=5.5E-7, low=5.3E-7, open=5.4E-7, close=5.4E-7, volume=0.70373756, quoteVolume=1322205.1570886, weightedAverage=5.3E-7]
PoloniexChartData [date=2015-07-16 00:00:00 GMT, high=5.6E-7, low=5.2E-7, open=5.4E-7, close=5.3E-7, volume=2.47582636, quoteVolume=4602218.0621348, weightedAverage=5.3E-7]
PoloniexChartData [date=2015-07-17 00:00:00 GMT, high=5.4E-7, low=5.3E-7, open=5.3E-7, close=5.3E-7, volume=0.63720711, quoteVolume=1194178.6527458, weightedAverage=5.3E-7]
PoloniexChartData [date=2015-07-18 00:00:00 GMT, high=5.5E-7, low=5.2E-7, open=5.4E-7, close=5.3E-7, volume=1.06894998, quoteVolume=2007212.4399167, weightedAverage=5.3E-7]
PoloniexChartData [date=2015-07-19 00:00:00 GMT, high=5.5E-7, low=5.3E-7, open=5.4E-7, close=5.4E-7, volume=2.1832293, quoteVolume=3996092.8760027, weightedAverage=5.4E-7]
PoloniexChartData [date=2015-07-20 00:00:00 GMT, high=5.6E-7, low=5.1E-7, open=5.3E-7, close=5.3E-7, volume=9.38023546, quoteVolume=17788096.675774, weightedAverage=5.2E-7]
PoloniexChartData [date=2015-07-21 00:00:00 GMT, high=5.3E-7, low=5.0E-7, open=5.3E-7, close=5.1E-7, volume=2.85076195, quoteVolume=5647678.8889628, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-07-22 00:00:00 GMT, high=5.3E-7, low=5.1E-7, open=5.3E-7, close=5.1E-7, volume=2.75194331, quoteVolume=5276655.4915653, weightedAverage=5.2E-7]
PoloniexChartData [date=2015-07-23 00:00:00 GMT, high=5.6E-7, low=5.2E-7, open=5.3E-7, close=5.2E-7, volume=6.54241629, quoteVolume=12010806.190887, weightedAverage=5.4E-7]
PoloniexChartData [date=2015-07-24 00:00:00 GMT, high=6.5E-7, low=5.1E-7, open=5.3E-7, close=6.1E-7, volume=21.57658259, quoteVolume=36485520.413063, weightedAverage=5.9E-7]
PoloniexChartData [date=2015-07-25 00:00:00 GMT, high=6.4E-7, low=5.8E-7, open=6.0E-7, close=6.2E-7, volume=6.18871066, quoteVolume=10195921.86342, weightedAverage=6.0E-7]
PoloniexChartData [date=2015-07-26 00:00:00 GMT, high=6.2E-7, low=5.7E-7, open=6.2E-7, close=6.1E-7, volume=3.60472817, quoteVolume=5989358.8278422, weightedAverage=6.0E-7]
PoloniexChartData [date=2015-07-27 00:00:00 GMT, high=6.2E-7, low=5.3E-7, open=6.0E-7, close=5.5E-7, volume=9.99306112, quoteVolume=17910954.093621, weightedAverage=5.5E-7]
