PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=5.6E-7, low=4.6E-7, open=5.5E-7, close=5.2E-7, volume=1.66455659, quoteVolume=3217292.1573944, weightedAverage=5.1E-7]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=5.3E-7, low=4.5E-7, open=5.1E-7, close=4.8E-7, volume=2.07766713, quoteVolume=4369918.3853327, weightedAverage=4.7E-7]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=4.8E-7, low=4.3E-7, open=4.8E-7, close=4.7E-7, volume=0.42777066, quoteVolume=948630.12171708, weightedAverage=4.5E-7]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=4.7E-7, low=3.6E-7, open=4.6E-7, close=4.1E-7, volume=1.64089463, quoteVolume=4024587.0514203, weightedAverage=4.0E-7]
PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=4.5E-7, low=4.0E-7, open=4.2E-7, close=4.0E-7, volume=0.17316372, quoteVolume=407410.54606929, weightedAverage=4.2E-7]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=5.3E-7, low=3.9E-7, open=4.1E-7, close=4.5E-7, volume=0.68262034, quoteVolume=1442275.4844945, weightedAverage=4.7E-7]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=5.1E-7, low=4.0E-7, open=5.1E-7, close=4.1E-7, volume=0.50278778, quoteVolume=1149508.0631017, weightedAverage=4.3E-7]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=4.6E-7, low=3.7E-7, open=4.1E-7, close=4.2E-7, volume=7.24371812, quoteVolume=17672333.719152, weightedAverage=4.0E-7]
PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=4.3E-7, low=3.9E-7, open=4.2E-7, close=4.2E-7, volume=0.14617976, quoteVolume=357878.24248622, weightedAverage=4.0E-7]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=4.2E-7, low=3.7E-7, open=4.1E-7, close=3.9E-7, volume=1.10717033, quoteVolume=2861412.0892739, weightedAverage=3.8E-7]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=4.1E-7, low=3.5E-7, open=4.0E-7, close=3.6E-7, volume=0.73958199, quoteVolume=1971586.4990899, weightedAverage=3.7E-7]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=4.5E-7, low=3.7E-7, open=3.7E-7, close=3.9E-7, volume=2.45157118, quoteVolume=6074679.7617837, weightedAverage=4.0E-7]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.9E-7, close=3.8E-7, volume=0.18406573, quoteVolume=471896.35681012, weightedAverage=3.9E-7]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=4.0E-7, close=4.0E-7, volume=0.25130588, quoteVolume=628480.06052662, weightedAverage=3.9E-7]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=4.0E-7, close=3.8E-7, volume=0.15253588, quoteVolume=393776.13585657, weightedAverage=3.8E-7]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=0.00000143, low=3.7E-7, open=4.0E-7, close=5.6E-7, volume=190.04677304, quoteVolume=220659325.23429, weightedAverage=8.6E-7]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=8.1E-7, low=4.6E-7, open=5.6E-7, close=6.5E-7, volume=107.08138968, quoteVolume=173056505.63316, weightedAverage=6.1E-7]
